char	char_sim	initial	final	tone	cat	char_ref	details
並	并	p	eng	6	0		
病	病	p	enn	7	1		
病	病	p	eng	6	2		
摒	摒	ph	in	5	0		
癶	癶	ph	uah	4	1		
癶	癶	ph	uat	4	2		
癶	癶	ph	iat	4	2		
波	波	p	o	1	0		
玻	玻	p	o	1	0		
剝	剥	p	ak	4	0		
菠	菠	p	o	1	0		
缽	钵	p	uah	4	1		
缽	钵	p	uat	4	2		
鉢	钵	p	uah	4	1		
鉢	钵	p	uat	4	2		
播	播	p	ua	3	1		
播	播	p	o	3	2		
撥	拨	ph	uah	4	1		
撥	拨	p	uat	4	2		
撥	拨	b	uah	4	3		
嶓	嶓	p	o	1	0		
餑	饽	p	uat	8	0		
伯	伯	p	eh	4	1		大伯
伯	伯	p	ek	4	2		伯仲叔季
帛	帛	p	eh	8	1		
帛	帛	p	ek	8	2		
帛	帛	p	ok	8	2		
勃	勃	p	uat	8	0		
瓟	瓟	ph	au	5	0		
亳	亳	p	ak	4	0		
舶	舶	p	oh	8	0		
舶	舶	p	ek	4	0		
脖	脖	p	uat	8	0		
博	博	ph	ak	4	0		
渤	渤	p	uat	8	0		
搏	搏	ph	ak	4	0		
鈸	钹	b	uah	8	1		
鈸	钹	p	uat	8	2		
鉑	铂	p	oh	8	0		
駁	驳	p	oh	4	1		
駁	驳	p	ak	4	2		
駁	驳	p	ok	4	2		
箔	箔	p	oh	8	1		
箔	箔	p	ak	8	2		
膊	膊	ph	ak	4	0		
鵓	鹁	p	uat	8	0		
礴	礴	p	oh	8	1		
礴	礴	p	ak	8	2		
跛	跛	ph	o	2	0		
簸	簸	p	ua	3	1		
簸	簸	p	o	3	2		
擘	擘	ph	ek	4	0		
蘗	蘗	ng	iak	8	0		
卜	卜	p	ok	4	0		
啵	啵	p	o	1	0		
蔔	卜	p	ok	8	2		
蔔	卜	ph	ek	4	1		
逋	逋	p	u	1	0		
晡	晡	p	u	1	0		
醭	醭	ph	ok	4	0		
捕	捕	p	u	6	0		
哺	哺	p	u	6	0		
哺	哺	p	ou	7	1		
哺	哺	p	u	6	2		
補	补	p	ou	2	1		
補	补	p	u	2	2		
不	不	p	ut	4	0		
布	布	p	u	3	2		
布	布	p	ou	3	1		
步	步	p	ou	7	1		
步	步	p	u	6	2		
佈	布	p	u	3	0		
怖	怖	p	u	3	0		
部	部	p	ou	6	1		
部	部	p	u	6	2		
埠	埠	p	ou	1	1		
埠	埠	p	u	1	2		
鈈	钚	p	ut	4	0		
踄	踄	p	ou	7	0		
簿	簿	ph	ou	6	0		
擦	擦	tsh	at	4	0		
礤	礤	tsh	a	3	0		
猜	猜	tsh	ai	1	0		
才	才	tsh	ai	5	0		
材	材	tsh	ai	5	0		
財	财	tsh	ai	5	0		
裁	裁	tsh	ai	5	0		
纔	才	tsh	ai	5	0		
采	采	tsh	ai	2	0		
採	采	tsh	ai	2	0		
彩	彩	tsh	ai	2	0		
睬	睬	tsh	ai	2	0		
綵	彩	tsh	ai	2	0		
踩	踩	tsh	ai	2	0		
菜	菜	tsh	ai	3	0		
蔡	蔡	tsh	ua	3	1		
蔡	蔡	tsh	ai	3	2		
叄	叁	s	ann	1	1		
叄	叁	s	am	1	2		
參	参	tsh	am	1	0		
參	参	s	iam	1	1		
參	参	s	rm	1	1		
參	参	s	im	1	2		
飱	飱	s	un	1	0		
餐	餐	tsh	an	1	0		
驂	骖	tsh	am	1	0		
殘	残	tsh	an	5	0		
殘	残	ts	uann	5	0		嘴残@tshui3-tsuann5@口水痕
慚	惭	tsh	am	5	0		
慙	惭	tsh	am	5	0		
蠶	蚕	tsh	oinn	5	1		
蠶	蚕	tsh	am	5	2		
慘	惨	tsh	am	2	0		
憯	憯	tsh	am	2	0		
粲	粲	tsh	an	3	0		
璨	璨	tsh	an	3	0		
燦	灿	tsh	an	3	0		
倉	仓	tsh	ang	1	2		
倉	仓	tsh	ng	1	1		
蒼	苍	tsh	ang	1	0		
滄	沧	tsh	ang	1	0		
艙	舱	tsh	ng	1	1		
艙	舱	tsh	ang	1	2		
鶬	鸧	tsh	ang	1	0		
藏	藏	ts	ang	6	0		
藏	藏	tsh	ang	5	0		
操	操	tsh	au	1	2		操场
操	操	tsh	au	3	2		曹操
糙	糙	tsh	o	3	1		
糙	糙	tsh	au	3	2		
曹	曹	tsh	au	5	0		
嘈	嘈	ts	au	1	0		
嘈	嘈	tsh	au	5	0		
漕	漕	tsh	au	5	0		
槽	槽	ts	o	5	1		
槽	槽	tsh	au	5	2		
螬	螬	tsh	au	5	0		
草	草	tsh	o	2	1		草书;;潦草
草	草	tsh	au	2	2		花草
肏	肏	ph	u	2	3	䯙	
誧	𰵩	ph	u	2	0		
䯙	䯙	ph	u	2	0		
冊	册	tsh	eh	4	1		
冊	册	tsh	ek	4	2		
側	侧	tsh	ek	4	0		
策	策	tsh	eh	4	1		
策	策	tsh	ek	4	2		
廁	厕	tsh	v	3	1		
廁	厕	tsh	e	3	1		
測	测	tsh	ek	4	0		
惻	恻	tsh	ek	4	0		
岑	岑	ng	im	5	3		
岑	岑	tsh	am	5	1		
岑	岑	tsh	im	5	2		
涔	涔	ng	im	5	3		
涔	涔	tsh	am	5	1		
涔	涔	tsh	im	5	2		
噌	噌	ts	eng	1	0		
